Model,Seed,Status,HEDO,HVSC,Best Epoch,Epochs Completed,Budget Stopped,Training Time (s),Training Time (min),Full Val MR,Test I2T R@1,Test I2T R@5,Test I2T R@10,Test I2T MedR,Test I2T MeanR,Test T2I R@1,Test T2I R@5,Test T2I R@10,Test T2I MedR,Test T2I MeanR,Test Mean Recall,Test Eval Time (s),Throughput (samples/s),Peak VRAM (MB),Total Params (M),Trainable Params (M),Frozen Params (M),test_evaluated,training_completed,run_status
SSD Baseline,42,COMPLETED,No,No,8,8,False,1050.774366629,17.512906110483335,48.03333333333333,27.0,57.599999999999994,70.1,4.0,16.116,21.240000000000002,50.160000000000004,65.18,5.0,19.9628,48.54666666666666,32.23248592699997,155.12300265402996,1875.755859375,210.184193,0.330497,209.853696,True,True,COMPLETED
SSD Baseline,43,COMPLETED,No,No,8,8,False,1048.039539094,17.467325651566668,48.00666666666666,26.3,56.2,68.60000000000001,4.0,17.16,19.939999999999998,49.78,64.68,6.0,20.461,47.583333333333336,31.95255076400008,156.48202977376505,1878.2197265625,210.184193,0.330497,209.853696,True,True,COMPLETED
SSD Baseline,44,COMPLETED,No,No,8,8,False,1047.9758322080002,17.466263870133336,47.78,26.3,58.099999999999994,71.6,4.0,15.324,20.18,49.74,65.74,6.0,19.6912,48.61000000000001,31.947885831999884,156.50487879832917,1877.7822265625,210.184193,0.330497,209.853696,True,True,COMPLETED
HEDO-HVSC w/o HEDO,42,COMPLETED,No,Yes,8,8,False,1062.99839702,17.716639950333334,48.080000000000005,27.700000000000003,57.9,69.3,4.0,16.276,20.52,50.13999999999999,65.02,5.0,20.1076,48.43,32.11010035500021,155.7142439519469,1878.6103515625,210.20941,0.355714,209.853696,True,True,COMPLETED
HEDO-HVSC w/o HEDO,43,COMPLETED,No,Yes,8,8,False,1070.1725214079997,17.83620869013333,48.13666666666666,25.7,55.900000000000006,69.19999999999999,4.0,16.582,19.78,50.03999999999999,65.08,5.0,20.3894,47.61666666666667,32.2375234379997,155.0987627699184,1878.3681640625,210.20941,0.355714,209.853696,True,True,COMPLETED
HEDO-HVSC w/o HEDO,44,COMPLETED,No,Yes,8,8,False,1073.961549224,17.899359153733332,47.66666666666666,26.700000000000003,57.4,71.6,4.0,15.254,20.580000000000002,49.66,65.72,6.0,19.6682,48.60999999999999,31.893159951000598,156.77342752119276,1878.8056640625,210.20941,0.355714,209.853696,True,True,COMPLETED
HEDO-HVSC w/o HVSC,42,COMPLETED,Yes,No,8,8,False,1053.3169850100003,17.555283083500004,48.03333333333333,27.900000000000002,56.699999999999996,69.8,4.0,15.84,21.279999999999998,50.080000000000005,64.84,5.0,19.7928,48.43333333333334,31.786943131000044,157.2972896259338,1878.9931640625,210.250753,0.397057,209.853696,True,True,COMPLETED
HEDO-HVSC w/o HVSC,43,COMPLETED,Yes,No,8,8,False,1053.8315054100003,17.563858423500005,49.16333333333333,25.8,57.099999999999994,70.19999999999999,4.0,15.53,19.98,50.28,65.03999999999999,5.0,19.8852,48.06666666666666,32.08688551600062,155.82690309742506,1879.7431640625,210.250753,0.397057,209.853696,True,True,COMPLETED
HEDO-HVSC w/o HVSC,44,COMPLETED,Yes,No,8,8,False,1055.8719612739987,17.597866021233312,48.70333333333334,27.900000000000002,57.099999999999994,70.89999999999999,4.0,15.017,20.72,50.62,65.42,5.0,19.28,48.776666666666664,31.981843655001285,156.33870435790544,2685.66357421875,210.250753,0.397057,209.853696,True,True,COMPLETED
Full HEDO-HVSC (Ours),42,COMPLETED,Yes,Yes,8,8,False,1068.871489305,17.814524821750002,47.85999999999999,28.199999999999996,56.49999999999999,69.89999999999999,4.0,15.817,20.880000000000003,50.13999999999999,64.84,5.0,19.9508,48.40999999999999,32.2076476229995,155.2426323873929,2686.05419921875,210.27597,0.422274,209.853696,True,True,COMPLETED
Full HEDO-HVSC (Ours),43,COMPLETED,Yes,Yes,7,8,False,1068.174964455,17.80291607425,48.556666666666665,24.099999999999998,56.49999999999999,69.89999999999999,4.0,15.558,20.46,49.419999999999995,64.62,6.0,20.2898,47.5,32.19908995900005,155.2838917611222,2686.24951171875,210.27597,0.422274,209.853696,True,True,COMPLETED
Full HEDO-HVSC (Ours),44,COMPLETED,Yes,Yes,8,8,False,1070.7290867870015,17.84548477978336,48.599999999999994,27.900000000000002,57.49999999999999,71.6,4.0,14.911,20.78,50.36000000000001,65.42,5.0,19.3294,48.92666666666667,32.21001408200027,155.23122676292527,2686.24951171875,210.27597,0.422274,209.853696,True,True,COMPLETED
